Protein_ID,Protein_Name,Gene_Symbol
E9PD91,Regulator of G-protein-signaling 9 OS=Homo sapiens GN=RGS9 PE=1 SV=3,RGS9
H0YLU3,Alpha-mannosidase 2x (Fragment) OS=Homo sapiens GN=MAN2A2 PE=1 SV=1,MAN2A2
Q9GZL7,Ribosome biogenesis protein WDR12 OS=Homo sapiens GN=WDR12 PE=1 SV=2,WDR12
H0Y8L8,Probable ATP-dependent RNA helicase DDX41 (Fragment) OS=Homo sapiens GN=DDX41 PE=1 SV=1,DDX41
P49756,RNA-binding protein 25 OS=Homo sapiens GN=RBM25 PE=1 SV=3,RBM25
B7Z509,"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens GN=GLS PE=1 SV=1",GLS
Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Homo sapiens GN=BDH1 PE=1 SV=3",BDH1
Q07075,Glutamyl aminopeptidase OS=Homo sapiens GN=ENPEP PE=1 SV=3,ENPEP
B7WPG3,Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRNPLL PE=1 SV=1,HNRNPLL
Q99643,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial OS=Homo sapiens GN=SDHC PE=1 SV=1",SDHC
Q495G5,MMAA protein OS=Homo sapiens GN=MMAA PE=1 SV=1,MMAA
P08754,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,GNAI3
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens GN=BCAT2 PE=1 SV=2",BCAT2
Q9NRX4,14 kDa phosphohistidine phosphatase OS=Homo sapiens GN=PHPT1 PE=1 SV=1,PHPT1
P13010,X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,XRCC5
A0A0A0MT68,Deoxyribonuclease OS=Homo sapiens GN=DNASE1L3 PE=1 SV=1,DNASE1L3
Q53GQ0,Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens GN=HSD17B12 PE=1 SV=2,HSD17B12
P05026,Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 PE=1 SV=1,ATP1B1
A0A0B4J2C3,Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1,TPT1
Q5SNT2,Transmembrane protein 201 OS=Homo sapiens GN=TMEM201 PE=1 SV=1,TMEM201
P08237,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM PE=1 SV=2",PFKM
F5H136,T-complex protein 1 subunit alpha (Fragment) OS=Homo sapiens GN=TCP1 PE=1 SV=1,TCP1
M0QYZ2,AP-2 complex subunit sigma OS=Homo sapiens GN=AP2S1 PE=1 SV=1,AP2S1
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3",PDHA1
P42331,Rho GTPase-activating protein 25 OS=Homo sapiens GN=ARHGAP25 PE=1 SV=2,ARHGAP25
Q96CF2,Charged multivesicular body protein 4c OS=Homo sapiens GN=CHMP4C PE=1 SV=1,CHMP4C
Q9UI09,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens GN=NDUFA12 PE=1 SV=1,NDUFA12
H0Y368,Dolichol-phosphate mannosyltransferase subunit 1 (Fragment) OS=Homo sapiens GN=DPM1 PE=1 SV=1,DPM1
Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens GN=SCCPDH PE=1 SV=1,SCCPDH
Q9H8H3,Methyltransferase-like protein 7A OS=Homo sapiens GN=METTL7A PE=1 SV=1,METTL7A
Q9BRX8,Redox-regulatory protein FAM213A OS=Homo sapiens GN=FAM213A PE=1 SV=3,FAM213A
Q9NWV4,UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=1 SV=1,C1orf123
Q9BVK6,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2,TMED9
P10301,Ras-related protein R-Ras OS=Homo sapiens GN=RRAS PE=1 SV=1,RRAS
Q5VXG6,SPATA21 protein OS=Homo sapiens GN=SPATA21 PE=2 SV=1,SPATA21
P78347,General transcription factor II-I OS=Homo sapiens GN=GTF2I PE=1 SV=2,GTF2I
Q6ZUU3,FOXL2 neighbor protein OS=Homo sapiens GN=FOXL2NB PE=2 SV=1,FOXL2NB
P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1,POLR2B
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3,HSD17B10
Q6ZUT9,DENN domain-containing protein 5B OS=Homo sapiens GN=DENND5B PE=1 SV=2,DENND5B
Q9BQG0,Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2,MYBBP1A
Q08257,Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1,CRYZ
P17858,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6",PFKL
H0Y4Z7,Carnitine O-acetyltransferase (Fragment) OS=Homo sapiens GN=CRAT PE=1 SV=1,CRAT
P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,PRKDC
K7EJ20,Glutathione peroxidase OS=Homo sapiens GN=GPX4 PE=1 SV=3,GPX4
J3KRY1,Rho GDP-dissociation inhibitor 1 (Fragment) OS=Homo sapiens GN=ARHGDIA PE=1 SV=1,ARHGDIA
Q9UBF2,Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1,COPG2
P98164,Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens GN=LRP2 PE=1 SV=3,LRP2
O95573,Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3,ACSL3
O43813,LanC-like protein 1 OS=Homo sapiens GN=LANCL1 PE=1 SV=1,LANCL1
H0YFA4,Cysteine-rich protein 2 (Fragment) OS=Homo sapiens GN=CRIP2 PE=1 SV=1,CRIP2
O75718,Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1,CRTAP
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1,GRHPR
Q6PI48,"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens GN=DARS2 PE=1 SV=1",DARS2
P11766,Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4,ADH5
P47756,F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4,CAPZB
Q99683,Mitogen-activated protein kinase kinase kinase 5 OS=Homo sapiens GN=MAP3K5 PE=1 SV=1,MAP3K5
Q9Y490,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,TLN1
P12956,X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,XRCC6
Q12788,Transducin beta-like protein 3 OS=Homo sapiens GN=TBL3 PE=1 SV=2,TBL3
Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens GN=IARS2 PE=1 SV=2",IARS2
Q9UMS4,Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1,PRPF19
D6RCD0,Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens GN=HSD17B11 PE=1 SV=2,HSD17B11
Q8N137,Centrobin OS=Homo sapiens GN=CNTROB PE=1 SV=1,CNTROB
P50336,Protoporphyrinogen oxidase OS=Homo sapiens GN=PPOX PE=1 SV=1,PPOX
Q9NRG9,Aladin OS=Homo sapiens GN=AAAS PE=1 SV=1,AAAS
P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,VCP
Q9Y6T7,Diacylglycerol kinase beta OS=Homo sapiens GN=DGKB PE=2 SV=2,DGKB
P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3",PRDX3
A0A087WWY8,Cilia- and flagella-associated protein 99 OS=Homo sapiens GN=CFAP99 PE=4 SV=1,CFAP99
P49419,Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 PE=1 SV=5,ALDH7A1
H7C4I3,RuvB-like 1 (Fragment) OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,RUVBL1
Q6P2D8,X-ray radiation resistance-associated protein 1 OS=Homo sapiens GN=XRRA1 PE=2 SV=2,XRRA1
O75400,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2,PRPF40A
A0A0A0MRP7,Breast carcinoma-amplified sequence 1 OS=Homo sapiens GN=BCAS1 PE=1 SV=1,BCAS1
Q9Y4W2,Ribosomal biogenesis protein LAS1L OS=Homo sapiens GN=LAS1L PE=1 SV=2,LAS1L
P54136,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=RARS PE=1 SV=2",RARS
P19012,"Keratin, type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3",KRT15
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3",NDUFS1
Q8WWC4,"Uncharacterized protein C2orf47, mitochondrial OS=Homo sapiens GN=C2orf47 PE=1 SV=1",C2orf47
Q96I99,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2",SUCLG2
P02765,Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1,AHSG
Q9H4B7,Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1,TUBB1
P51648,Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1,ALDH3A2
P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1",ATP5A1
P18669,Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2,PGAM1
Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3,FLNC
Q9Y5B9,FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1,SUPT16H
O60656,UDP-glucuronosyltransferase 1-9 OS=Homo sapiens GN=UGT1A9 PE=1 SV=1,UGT1A9
Q5VV89,Microsomal glutathione S-transferase 3 OS=Homo sapiens GN=MGST3 PE=1 SV=1,MGST3
H3BNX8,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=1",COX5A
P62995,Transformer-2 protein homolog beta OS=Homo sapiens GN=TRA2B PE=1 SV=1,TRA2B
P20671,Histone H2A type 1-D OS=Homo sapiens GN=HIST1H2AD PE=1 SV=2,HIST1H2AD
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5,DDX21
P04908,Histone H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2,HIST1H2AB
H0YKD8,60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=1,RPL28
Q9Y6U3,Adseverin OS=Homo sapiens GN=SCIN PE=1 SV=4,SCIN
O95294,RasGAP-activating-like protein 1 OS=Homo sapiens GN=RASAL1 PE=1 SV=3,RASAL1
G5E9Q7,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Homo sapiens GN=IDH3G PE=1 SV=1",IDH3G
Q7Z6K1,THAP domain-containing protein 5 OS=Homo sapiens GN=THAP5 PE=1 SV=2,THAP5
O00592,Podocalyxin OS=Homo sapiens GN=PODXL PE=1 SV=2,PODXL
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3",UQCRC1
Q9HBL7,Plasminogen receptor (KT) OS=Homo sapiens GN=PLGRKT PE=1 SV=1,PLGRKT
P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens GN=PCCA PE=1 SV=4",PCCA
P03886,NADH-ubiquinone oxidoreductase chain 1 OS=Homo sapiens GN=MT-ND1 PE=1 SV=1,MT-ND1
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,ATP1A1
A8MZF9,Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens GN=DRG2 PE=1 SV=1,DRG2
Q9BY49,Peroxisomal trans-2-enoyl-CoA reductase OS=Homo sapiens GN=PECR PE=1 SV=2,PECR
K7EJ74,116 kDa U5 small nuclear ribonucleoprotein component (Fragment) OS=Homo sapiens GN=EFTUD2 PE=1 SV=1,EFTUD2
P16402,Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2,HIST1H1D
Q9Y4G6,Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4,TLN2
Q9UFH2,"Dynein heavy chain 17, axonemal OS=Homo sapiens GN=DNAH17 PE=1 SV=2",DNAH17
P35998,26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3,PSMC2
O43294,Transforming growth factor beta-1-induced transcript 1 protein OS=Homo sapiens GN=TGFB1I1 PE=1 SV=2,TGFB1I1
Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3,NDUFA13
H0YNF6,TM2 domain-containing protein 3 (Fragment) OS=Homo sapiens GN=TM2D3 PE=1 SV=1,TM2D3
Q8TEM1,Nuclear pore membrane glycoprotein 210 OS=Homo sapiens GN=NUP210 PE=1 SV=3,NUP210
D6W5Y5,"Cold inducible RNA binding protein, isoform CRA_c OS=Homo sapiens GN=CIRBP PE=1 SV=1",CIRBP
Q2TAL8,Glutamine-rich protein 1 OS=Homo sapiens GN=QRICH1 PE=1 SV=1,QRICH1
Q9Y3D9,"28S ribosomal protein S23, mitochondrial OS=Homo sapiens GN=MRPS23 PE=1 SV=2",MRPS23
Q08554,Desmocollin-1 OS=Homo sapiens GN=DSC1 PE=1 SV=2,DSC1
P54920,Alpha-soluble NSF attachment protein OS=Homo sapiens GN=NAPA PE=1 SV=3,NAPA
A0A087WW63,Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Homo sapiens GN=CACNA1A PE=1 SV=1,CACNA1A
Q05639,Elongation factor 1-alpha 2 OS=Homo sapiens GN=EEF1A2 PE=1 SV=1,EEF1A2
H0Y8H8,LEM domain-containing protein 2 (Fragment) OS=Homo sapiens GN=LEMD2 PE=1 SV=1,LEMD2
Q9NX20,"39S ribosomal protein L16, mitochondrial OS=Homo sapiens GN=MRPL16 PE=1 SV=1",MRPL16
Q8NB16,Mixed lineage kinase domain-like protein OS=Homo sapiens GN=MLKL PE=1 SV=1,MLKL
H0YFD2,Protein KRI1 homolog (Fragment) OS=Homo sapiens GN=KRI1 PE=1 SV=3,KRI1
P24844,Myosin regulatory light polypeptide 9 OS=Homo sapiens GN=MYL9 PE=1 SV=4,MYL9
P40926,"Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3",MDH2
Q9Y277,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1,VDAC3
Q14149,MORC family CW-type zinc finger protein 3 OS=Homo sapiens GN=MORC3 PE=1 SV=3,MORC3
C9JW69,Regulator of chromosome condensation (Fragment) OS=Homo sapiens GN=RCC1 PE=1 SV=1,RCC1
P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Homo sapiens GN=GLDC PE=1 SV=2",GLDC
P49914,5-formyltetrahydrofolate cyclo-ligase OS=Homo sapiens GN=MTHFS PE=1 SV=2,MTHFS
B5MD23,Tetraspanin OS=Homo sapiens GN=TSPAN9 PE=1 SV=1,TSPAN9
F6UJC5,Spliceosome RNA helicase DDX39B (Fragment) OS=Homo sapiens GN=DDX39B PE=1 SV=1,DDX39B
H0Y6F8,"HLA class II histocompatibility antigen, DP alpha 1 chain (Fragment) OS=Homo sapiens GN=HLA-DPA1 PE=1 SV=1",HLA-DPA1
Q99933,BAG family molecular chaperone regulator 1 OS=Homo sapiens GN=BAG1 PE=1 SV=4,BAG1
J3KND3,Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=1,MYL6
O00541,Pescadillo homolog OS=Homo sapiens GN=PES1 PE=1 SV=1,PES1
P02749,Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3,APOH
Q06587,E3 ubiquitin-protein ligase RING1 OS=Homo sapiens GN=RING1 PE=1 SV=2,RING1
E5RK27,Voltage-dependent anion-selective channel protein 3 (Fragment) OS=Homo sapiens GN=VDAC3 PE=1 SV=1,VDAC3
Q12931,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3",TRAP1
Q13510,Acid ceramidase OS=Homo sapiens GN=ASAH1 PE=1 SV=5,ASAH1
P49716,CCAAT/enhancer-binding protein delta OS=Homo sapiens GN=CEBPD PE=1 SV=2,CEBPD
V9GYA7,"28S ribosomal protein S29, mitochondrial (Fragment) OS=Homo sapiens GN=DAP3 PE=1 SV=1",DAP3
O75891,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Homo sapiens GN=ALDH1L1 PE=1 SV=2,ALDH1L1
Q8WUM0,Nuclear pore complex protein Nup133 OS=Homo sapiens GN=NUP133 PE=1 SV=2,NUP133
P48047,"ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1",ATP5O
O95782,AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3,AP2A1
P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3,GNB2
Q8N5C1,Protein FAM26E OS=Homo sapiens GN=FAM26E PE=2 SV=1,FAM26E
P46777,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3,RPL5
O95831,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1",AIFM1
Q24JP5,Transmembrane protein 132A OS=Homo sapiens GN=TMEM132A PE=1 SV=1,TMEM132A
A0A0A0MSG0,WAS/WASL-interacting protein family member 3 OS=Homo sapiens GN=WIPF3 PE=1 SV=1,WIPF3
P01911,"HLA class II histocompatibility antigen, DRB1-1 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=2",HLA-DRB1
H3BNT2,"Ubiquinone biosynthesis protein COQ9, mitochondrial (Fragment) OS=Homo sapiens GN=COQ9 PE=1 SV=6",COQ9
H7C034,AP-1 complex subunit beta-1 (Fragment) OS=Homo sapiens GN=AP1B1 PE=1 SV=1,AP1B1
A0A0A0MSY7,"Thymidine kinase 2, mitochondrial OS=Homo sapiens GN=TK2 PE=1 SV=1",TK2
P47897,Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1,QARS
O60508,Pre-mRNA-processing factor 17 OS=Homo sapiens GN=CDC40 PE=1 SV=1,CDC40
A0A0A0MSG2,Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=1,FHL2
P41229,Lysine-specific demethylase 5C OS=Homo sapiens GN=KDM5C PE=1 SV=2,KDM5C
Q6PL18,ATPase family AAA domain-containing protein 2 OS=Homo sapiens GN=ATAD2 PE=1 SV=1,ATAD2
A0A0C4DGS1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=1,DDOST
P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,EPRS
Q96EY7,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial OS=Homo sapiens GN=PTCD3 PE=1 SV=3",PTCD3
Q5T5P2,Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 PE=1 SV=2,KIAA1217
Q9H0X9,Oxysterol-binding protein-related protein 5 OS=Homo sapiens GN=OSBPL5 PE=1 SV=1,OSBPL5
Q9UDW1,Cytochrome b-c1 complex subunit 9 OS=Homo sapiens GN=UQCR10 PE=1 SV=3,UQCR10
P11498,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2",PC
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I OS=Homo sapiens GN=CACNA1I PE=1 SV=1,CACNA1I
O60641,Clathrin coat assembly protein AP180 OS=Homo sapiens GN=SNAP91 PE=1 SV=2,SNAP91
Q7Z406,Myosin-14 OS=Homo sapiens GN=MYH14 PE=1 SV=2,MYH14
H0YDF7,PHD finger protein 20-like protein 1 (Fragment) OS=Homo sapiens GN=PHF20L1 PE=1 SV=1,PHF20L1
O00422,Histone deacetylase complex subunit SAP18 OS=Homo sapiens GN=SAP18 PE=1 SV=1,SAP18
Q8TDM6,Disks large homolog 5 OS=Homo sapiens GN=DLG5 PE=1 SV=4,DLG5
H7C1Y7,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Fragment) OS=Homo sapiens GN=NDUFA10 PE=1 SV=1",NDUFA10
Q5T440,"Putative transferase CAF17, mitochondrial OS=Homo sapiens GN=IBA57 PE=1 SV=1",IBA57
A0A0A0MQU3,Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1,UBE2D2
Q9Y2Z9,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Homo sapiens GN=COQ6 PE=1 SV=2",COQ6
Q6ZVX7,F-box only protein 50 OS=Homo sapiens GN=NCCRP1 PE=1 SV=1,NCCRP1
P62829,60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1,RPL23
Q07955,Serine/arginine-rich splicing factor 1 OS=Homo sapiens GN=SRSF1 PE=1 SV=2,SRSF1
Q96C19,EF-hand domain-containing protein D2 OS=Homo sapiens GN=EFHD2 PE=1 SV=1,EFHD2
P04003,C4b-binding protein alpha chain OS=Homo sapiens GN=C4BPA PE=1 SV=2,C4BPA
P22830,"Ferrochelatase, mitochondrial OS=Homo sapiens GN=FECH PE=1 SV=2",FECH
P05091,"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2",ALDH2
P25685,DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4,DNAJB1
A0A087WYY6,Plakophilin-1 OS=Homo sapiens GN=PKP1 PE=1 SV=1,PKP1
O75521,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Homo sapiens GN=ECI2 PE=1 SV=4",ECI2
Q96HC4,PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=1 SV=5,PDLIM5
O94905,Erlin-2 OS=Homo sapiens GN=ERLIN2 PE=1 SV=1,ERLIN2
A0A0A6YY98,Transient receptor potential cation channel subfamily V member 5 OS=Homo sapiens GN=TRPV5 PE=1 SV=1,TRPV5
A0A087WVQ6,Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1,CLTC
P23284,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,PPIB
M0QXZ3,Complement C3 (Fragment) OS=Homo sapiens GN=C3 PE=1 SV=1,C3
P39023,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2,RPL3
Q8WVC0,RNA polymerase-associated protein LEO1 OS=Homo sapiens GN=LEO1 PE=1 SV=1,LEO1
P18124,60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1,RPL7
P51571,Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1,SSR4
P19474,E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens GN=TRIM21 PE=1 SV=1,TRIM21
Q9Y697,"Cysteine desulfurase, mitochondrial OS=Homo sapiens GN=NFS1 PE=1 SV=3",NFS1
P32189,Glycerol kinase OS=Homo sapiens GN=GK PE=1 SV=3,GK
Q9P2R7,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLA2 PE=1 SV=3",SUCLA2
Q96M42,Putative uncharacterized protein encoded by LINC00479 OS=Homo sapiens GN=LINC00479 PE=5 SV=2,LINC00479
P60981,Destrin OS=Homo sapiens GN=DSTN PE=1 SV=3,DSTN
H3BRD0,General transcription factor 3C polypeptide 1 (Fragment) OS=Homo sapiens GN=GTF3C1 PE=1 SV=6,GTF3C1
O76021,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3,RSL1D1
P06733,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,ENO1
A0A087WUD3,Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=1 SV=1,OSTC
P30837,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3",ALDH1B1
A0A087X004,"Glutaminase 2 (Liver, mitochondrial), isoform CRA_d OS=Homo sapiens GN=GLS2 PE=1 SV=1",GLS2
P54868,"Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Homo sapiens GN=HMGCS2 PE=1 SV=1",HMGCS2
P33121,Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens GN=ACSL1 PE=1 SV=1,ACSL1
Q99536,Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2,VAT1
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3",UQCRC2
P0DKV0,Spermatogenesis-associated protein 31C1 OS=Homo sapiens GN=SPATA31C1 PE=2 SV=1,SPATA31C1
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4,CAV1
P49959,Double-strand break repair protein MRE11A OS=Homo sapiens GN=MRE11A PE=1 SV=3,MRE11A
P09110,"3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens GN=ACAA1 PE=1 SV=2",ACAA1
Q00535,Cyclin-dependent-like kinase 5 OS=Homo sapiens GN=CDK5 PE=1 SV=3,CDK5
J3KR72,Transcription initiation factor TFIID subunit 6 OS=Homo sapiens GN=TAF6 PE=1 SV=1,TAF6
P48668,"Keratin, type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C PE=1 SV=3",KRT6C
F5H5N6,Clathrin heavy chain 2 (Fragment) OS=Homo sapiens GN=CLTCL1 PE=1 SV=1,CLTCL1
Q99424,Peroxisomal acyl-coenzyme A oxidase 2 OS=Homo sapiens GN=ACOX2 PE=1 SV=1,ACOX2
P53990,IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1,IST1
E9PCY7,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=1,HNRNPH1
P49792,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2,RANBP2
Q9UDY2,Tight junction protein ZO-2 OS=Homo sapiens GN=TJP2 PE=1 SV=2,TJP2
P33778,Histone H2B type 1-B OS=Homo sapiens GN=HIST1H2BB PE=1 SV=2,HIST1H2BB
P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7",KRT8
Q8WXX5,DnaJ homolog subfamily C member 9 OS=Homo sapiens GN=DNAJC9 PE=1 SV=1,DNAJC9
Q92597,Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1,NDRG1
