Gene_Symbol,ESM2_Cluster,AE_Cluster,Matrisome_Category,Matrisome_Division,Protein_ID,Protein_Name,UMAP1_AE,UMAP2_AE,UMAP1_ESM2,UMAP2_ESM2
Plxdc2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9DC11,Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein),-0.9853462,6.398144,4.4887047,6.3513856
Plxna1,7,8,ECM-affiliated Proteins,Matrisome-associated,P70206,Plexin-A1 (Plex 1) (Plexin-1),-0.56875974,6.199806,2.3683753,6.4392548
Plxna2,10,12,ECM-affiliated Proteins,Matrisome-associated,P70207,,-1.1544577,6.065599,4.6028094,6.147906
Plxna4,14,12,ECM-affiliated Proteins,Matrisome-associated,Q80UG2,,-1.0684569,5.092388,4.521957,5.4588747
Plxnb1,14,12,ECM-affiliated Proteins,Matrisome-associated,Q8CJH3,Plexin-B1,-0.7409079,4.360781,4.0465956,4.9344573
Plxnb2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,B2RXS4,Plexin-B2,-0.0035646956,6.267788,2.0601325,6.202851
Plxnc1,14,12,ECM-affiliated Proteins,Matrisome-associated,Q9QZC2,,-0.7532161,4.5085206,4.2661996,5.106486
Plxnd1,-1,8,ECM-affiliated Proteins,Matrisome-associated,Q3UH93,Plexin-D1,-0.13514082,6.1726036,2.0541399,6.273198
Podn,-1,-1,Proteoglycans,Core matrisome,Q7TQ62,,2.9887056,8.577001,-0.013945909,3.6342485
Postn,-1,-1,ECM Glycoproteins,Core matrisome,Q62009,Periostin (PN) (Osteoblast-specific factor 2) (OSF-2),1.9236178,8.190098,1.489755,4.2791677
Prelp,-1,-1,Proteoglycans,Core matrisome,Q9JK53,Prolargin (Proline-arginine-rich end leucine-rich repeat protein),1.7201027,9.75199,2.0075586,2.665304
Ptn,-1,-1,Secreted Factors,Matrisome-associated,Q3UZI5,,-1.5505366,6.4142694,4.3771214,6.3834815
Pxdn,-1,-1,ECM Glycoproteins,Core matrisome,Q3UQ28,Peroxidasin homolog (EC 1.11.1.7),2.4255364,7.4840455,1.6435686,4.8015385
Pzp,-1,-1,ECM Regulators,Matrisome-associated,Q61838,Pregnancy zone protein (Alpha-2-macroglobulin) (Alpha-2-M) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit; Alpha-2-macroglobulin 35 kDa subunit],0.6317496,10.184358,0.8016176,1.1868992
REG1A;REG1B,18,-1,ECM-affiliated Proteins,Matrisome-associated,P05451;P48304,Lithostathine-1-alpha;Lithostathine-1-beta,7.052134,12.61852,-12.208571,1.3880134
REG3A,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q06141,Regenerating islet-derived protein 3-alpha;Regenerating islet-derived protein 3-alpha 16.5 kDa form;Regenerating islet-derived protein 3-alpha 15 kDa form,6.9301972,12.673682,-12.483387,2.1003804
REG4,18,22,ECM-affiliated Proteins,Matrisome-associated,Q9BYZ8,Regenerating islet-derived protein 4,8.454639,12.308957,-9.6201105,-1.3460418
Rif1,-1,-1,Secreted Factors,Matrisome-associated,Q6PR54,Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog) (mRif1),2.3571758,6.9748244,0.36573333,4.5613456
S100A1,-1,-1,Secreted Factors,Matrisome-associated,P23297,Protein S100-A1,13.2186985,7.0683856,-18.152113,13.918592
S100A10,-1,-1,Secreted Factors,Matrisome-associated,P60903,Protein S100-A10,12.821708,7.055646,-6.2508197,2.4704502
S100A11,-1,-1,Secreted Factors,Matrisome-associated,P31949,"Protein S100-A11;Protein S100-A11, N-terminally processed",12.696646,8.572232,-6.298971,-0.77852976
S100A12,0,0,Secreted Factors,Matrisome-associated,P80511,Protein S100-A12;Calcitermin,16.603922,5.498757,-0.7661996,11.754554
S100A13,-1,-1,Secreted Factors,Matrisome-associated,Q99584,Protein S100-A13,13.796754,7.866423,-4.0404096,7.8152432
S100A14,8,9,Secreted Factors,Matrisome-associated,Q9HCY8,Protein S100-A14,20.061674,12.52746,-18.070509,14.951015
S100A16,-1,-1,Secreted Factors,Matrisome-associated,Q96FQ6,Protein S100-A16,16.577698,5.338792,-0.9535779,11.656776
S100A1;S100A1,-1,-1,Secreted Factors,Matrisome-associated,Q9D3M4,Protein S100;Protein S100-A1,7.432605,8.7198105,-3.592144,4.1199203
S100A2,8,9,Secreted Factors,Matrisome-associated,P29034,Protein S100-A2,20.095964,12.6196,-17.942095,15.110525
S100A3,8,9,Secreted Factors,Matrisome-associated,P33764,Protein S100-A3,20.16156,12.559051,-17.987974,15.026868
S100A4,-1,-1,Secreted Factors,Matrisome-associated,P26447,Protein S100-A4,14.960219,4.451568,-4.2320113,7.955188
S100A6,-1,-1,Secreted Factors,Matrisome-associated,P06703,Protein S100-A6,14.615194,4.730513,-3.9014246,7.7272983
S100A7,8,-1,Secreted Factors,Matrisome-associated,P31151,Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7),9.916503,11.322116,-17.759695,15.003174
S100A7A,3,4,Secreted Factors,Matrisome-associated,Q86SG5,Protein S100-A7A OS=Homo sapiens GN=S100A7A PE=1 SV=3,14.09669,6.41314,-4.1622324,2.0554278
S100A7L2,16,23,Secreted Factors,Matrisome-associated,Q5SY68,Protein S100-A7-like 2,8.4886675,12.778365,-8.74457,-2.5441618
S100A8,-1,-1,Secreted Factors,Matrisome-associated,P05109,"Protein S100-A8;Protein S100-A8, N-terminally processed",12.721527,7.4573774,-7.3289385,2.7166736
S100A9,-1,-1,Secreted Factors,Matrisome-associated,P06702,Protein S100-A9,12.77772,7.622275,-6.9880815,2.405383
S100B,2,1,Secreted Factors,Matrisome-associated,P04271,Protein S100-B,14.6586685,4.7350945,-4.0602293,7.795864
S100G,15,17,Secreted Factors,Matrisome-associated,P97816,Protein S100-G;Protein S100,8.107806,11.467232,-7.2351017,0.3949315
S100P,-1,-1,Secreted Factors,Matrisome-associated,P25815,Protein S100-P (Migration-inducing gene 9 protein) (MIG9) (Protein S100-E) (S100 calcium-binding protein P),9.051236,10.43843,-0.46212602,2.8523476
S100a1,-1,7,Secreted Factors,Matrisome-associated,Q91V77,Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1),2.3956294,9.661597,1.814373,2.7820857
S100a10,-1,-1,Secreted Factors,Matrisome-associated,P08207,Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11),2.4817643,9.81276,2.0806818,3.011961
S100a11,-1,-1,Secreted Factors,Matrisome-associated,P50543,Protein S100-A11 (Calgizzarin) (Endothelial monocyte-activating polypeptide) (EMAP) (Protein S100-C) (S100 calcium-binding protein A11),3.0653992,9.469527,0.80590785,5.5591283
S100a13,-1,-1,Secreted Factors,Matrisome-associated,P97352,Protein S100-A13 (S100 calcium-binding protein A13),3.4170775,8.924281,0.0875387,5.7526035
S100a16,-1,-1,Secreted Factors,Matrisome-associated,Q9D708,,6.9141865,9.995101,-0.011846802,3.399073
S100a4,-1,-1,Secreted Factors,Matrisome-associated,P07091,,1.3098763,9.673441,2.3826935,2.4072213
S100a5,-1,-1,Secreted Factors,Matrisome-associated,P63084,,1.3202447,9.619967,2.4244816,2.5116177
S100a6,-1,-1,Secreted Factors,Matrisome-associated,P14069,Protein S100-A6 (5B10) (Calcyclin) (Prolactin receptor-associated protein) (S100 calcium-binding protein A6),1.1244688,9.824121,2.3962653,2.2314856
S100a9,-1,-1,Secreted Factors,Matrisome-associated,P31725,,1.8063507,9.06676,0.9002007,2.898007
S100b,-1,-1,Secreted Factors,Matrisome-associated,P50114,,2.5276055,9.807418,2.0297756,2.8710327
SBSPON,-1,-1,ECM Glycoproteins,Core matrisome,Q8IVN8,Somatomedin-B and thrombospondin type-1 domain-containing protein,13.991119,6.5093827,-4.085848,1.9805077
SCUBE1,-1,-1,Secreted Factors,Matrisome-associated,Q8IWY4,"Signal peptide, CUB and EGF-like domain-containing protein 1",14.080492,9.667654,-5.9826536,-1.4507318
SCUBE3,-1,-1,Secreted Factors,Matrisome-associated,Q8IX30,"Signal peptide, CUB and EGF-like domain-containing protein 3",10.046545,11.266133,-8.789795,-1.5752329
SCYL1,11,13,Secreted Factors,Matrisome-associated,Q96KG9,N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase),4.3723087,8.50457,-0.04819883,5.6134715
SDC1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P18827,Syndecan-1,12.708682,8.22307,-5.65956,-1.9487746
SDC2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P34741,Syndecan-2,13.666952,8.71387,-6.009635,-1.2615751
SDC4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O35988,Syndecan-4;Syndecan,10.424385,6.407236,-5.244663,4.2209444
SEMA3A,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q14563,Semaphorin-3A,7.5541544,9.988474,-8.727237,2.7372797
SEMA3B,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q13214,Semaphorin-3B,12.509172,8.589377,-7.0115542,0.92090183
SEMA3C,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q99985,Semaphorin-3C,9.670303,6.7373924,-8.109342,-1.8000271
SEMA3D,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O95025,Semaphorin-3D,6.80329,12.707108,-12.262355,2.1105378
SEMA3E,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O15041,Semaphorin-3E,9.894006,11.3366585,-8.567346,-1.7774886
SEMA3F,20,19,ECM-affiliated Proteins,Matrisome-associated,O88632,Semaphorin-3F,7.2659254,8.915928,-3.218795,4.043466
SEMA3G,3,4,ECM-affiliated Proteins,Matrisome-associated,Q4LFA9,Semaphorin-3G,14.352714,6.4899244,-4.460312,1.7483125
SEMA7A,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9QUR8,Semaphorin-7A,10.450495,6.424594,-5.21406,4.1741138
SERPINA1,1,-1,ECM Regulators,Matrisome-associated,P01009,Alpha-1-antitrypsin;Short peptide from AAT,12.845755,6.52323,-6.755992,2.7414992
SERPINA10,1,-1,ECM Regulators,Matrisome-associated,Q9UK55,Protein Z-dependent protease inhibitor,12.410587,6.6737633,-6.90636,2.7570279
SERPINA12,8,9,ECM Regulators,Matrisome-associated,Q8IW75,Serpin A12,20.066896,12.56797,-17.936306,15.054544
SERPINA1A,19,16,ECM Regulators,Matrisome-associated,P07758,Alpha-1-antitrypsin 1-1,10.262302,6.367118,-5.043708,4.17181
SERPINA1B,19,16,ECM Regulators,Matrisome-associated,Q3KQQ4,,10.285711,6.3431034,-5.1209702,4.17134
SERPINA1C,19,16,ECM Regulators,Matrisome-associated,A0A0R4J0X5,Alpha-1-antitrypsin 1-3,10.235412,6.2679305,-5.173432,4.2213454
SERPINA1D,19,16,ECM Regulators,Matrisome-associated,Q00897,Alpha-1-antitrypsin 1-4,9.829611,6.58855,-4.5124025,4.1379113
SERPINA1E,-1,-1,ECM Regulators,Matrisome-associated,Q00898,Alpha-1-antitrypsin 1-5,10.397008,6.344676,-5.1586423,4.189388
SERPINA3,-1,-1,ECM Regulators,Matrisome-associated,P01011,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,13.050878,6.642334,-6.4802604,2.6488152
SERPINA3G,-1,-1,ECM Regulators,Matrisome-associated,Q5I2A0,Serine protease inhibitor A3G,9.7371,11.288946,-0.8557555,3.5057602
SERPINA3K,-1,-1,ECM Regulators,Matrisome-associated,P07759,Serine protease inhibitor A3K,10.205627,11.009951,-1.0719113,3.355038
SERPINA3M,-1,-1,ECM Regulators,Matrisome-associated,Q03734,Serine protease inhibitor A3M,7.4161925,8.725386,-3.5279038,4.11963
SERPINA3N,-1,-1,ECM Regulators,Matrisome-associated,G3X8T9,"Serine (Or cysteine) peptidase inhibitor, clade A, member 3N, isoform CRA_a;Serine protease inhibitor A3N",10.3350725,6.349144,-5.1855416,4.195327
SERPINA4,-1,-1,ECM Regulators,Matrisome-associated,P29622,Kallistatin,12.747715,6.283663,-7.9248548,2.733397
SERPINA5,-1,-1,ECM Regulators,Matrisome-associated,P05154,Plasma serine protease inhibitor,14.752516,5.5406475,-4.02275,7.4792747
SERPINA6,-1,-1,ECM Regulators,Matrisome-associated,P08185,Corticosteroid-binding globulin,12.296824,6.7431464,-6.978858,2.773151
SERPINA7,-1,-1,ECM Regulators,Matrisome-associated,P05543,Thyroxine-binding globulin,12.454744,6.746519,-6.86741,2.7768002
SERPINB1,-1,-1,ECM Regulators,Matrisome-associated,P30740,Leukocyte elastase inhibitor,13.2201805,6.773577,-6.081636,2.196099
SERPINB12,-1,-1,ECM Regulators,Matrisome-associated,Q96P63,Serpin B12,14.394866,6.3909955,0.97392315,6.282323
SERPINB1A,-1,-1,ECM Regulators,Matrisome-associated,Q9D154,Leukocyte elastase inhibitor A,7.4279857,8.70861,-3.6268716,4.1257935
SERPINB2,-1,-1,ECM Regulators,Matrisome-associated,P05120,Plasminogen activator inhibitor 2,14.438549,9.631323,-5.7271266,-2.0067613
SERPINB3,-1,-1,ECM Regulators,Matrisome-associated,P29508,Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1) (SCCA-1),4.824446,8.204794,-0.13962454,5.792534
SERPINB4,8,9,ECM Regulators,Matrisome-associated,P48594,Serpin B4,20.067839,12.618041,-17.965252,15.115482
SERPINB5,8,9,ECM Regulators,Matrisome-associated,P36952,Serpin B5,19.937313,12.278605,-18.039814,14.714409
SERPINB6,-1,-1,ECM Regulators,Matrisome-associated,P35237,Serpin B6,12.677552,6.1461606,-8.608122,2.6858974
SERPINB6;SERPINB6A,20,-1,ECM Regulators,Matrisome-associated,Q60854,Serpin B6,7.0013885,9.8628845,-2.6751912,3.941434
SERPINB6B,-1,-1,ECM Regulators,Matrisome-associated,O08804,NK13,10.036391,11.119387,-1.0023537,3.495926
SERPINB7,8,9,ECM Regulators,Matrisome-associated,O75635,Serpin B7,20.126541,12.574205,-17.954805,15.048376
SERPINB8,-1,-1,ECM Regulators,Matrisome-associated,O08800,Serpin B8,3.7336152,7.3995304,0.26096728,5.96596
SERPINB9,-1,-1,ECM Regulators,Matrisome-associated,P50453,Serpin B9,14.398048,9.721721,-5.7216167,-1.9861143
SERPINB9B,22,20,ECM Regulators,Matrisome-associated,Q3TJ69,Serpin domain-containing protein,7.0337873,10.372032,-0.35501972,3.4774697
SERPINC1,-1,-1,ECM Regulators,Matrisome-associated,P01008,Antithrombin-III,12.063223,6.508843,-7.5863767,2.9403546
SERPIND1,-1,-1,ECM Regulators,Matrisome-associated,P05546,Heparin cofactor 2,12.369687,6.3239627,-7.8209443,2.938348
SERPINE1,-1,-1,ECM Regulators,Matrisome-associated,P05121,Plasminogen activator inhibitor 1,3.4303043,7.3153677,1.0257316,6.254358
SERPINE2,-1,-1,ECM Regulators,Matrisome-associated,P07093,Glia-derived nexin,15.010484,4.3851557,-4.2272344,7.958394
SERPINF1,-1,-1,ECM Regulators,Matrisome-associated,P36955,Pigment epithelium-derived factor,12.362127,6.6534796,-7.156963,2.8161676
SERPINF2,-1,-1,ECM Regulators,Matrisome-associated,P08697,Alpha-2-antiplasmin,12.559507,6.209259,-8.342063,3.04507
SERPING1,-1,-1,ECM Regulators,Matrisome-associated,P05155,Plasma protease C1 inhibitor,12.864979,6.8490553,-6.2933793,2.4475305
SERPINH1,-1,-1,ECM Regulators,Matrisome-associated,P50454,Serpin H1,14.812481,7.5687075,-4.239133,-0.08007872
SERPINI2,3,4,ECM Regulators,Matrisome-associated,A0A0C4DGW9,Serpin I2 OS=Homo sapiens GN=SERPINI2 PE=1 SV=1,14.428227,6.5164404,-4.432644,1.7466983
SFRP1,-1,-1,Secreted Factors,Matrisome-associated,Q8N474,Secreted frizzled-related protein 1,11.171949,8.652197,-4.9836264,0.47701
SFRP2,8,9,Secreted Factors,Matrisome-associated,Q96HF1,Secreted frizzled-related protein 2,20.290466,12.456639,-17.928736,15.1209
SFRP4,-1,-1,Secreted Factors,Matrisome-associated,Q6FHJ7,Secreted frizzled-related protein 4,11.097216,8.754761,-5.0118365,0.44243306
SFTPA1,19,16,ECM-affiliated Proteins,Matrisome-associated,P35242,Pulmonary surfactant-associated protein A,9.889016,6.5508475,-4.655104,4.157244
SFTPB,-1,17,ECM-affiliated Proteins,Matrisome-associated,P07988,Pulmonary surfactant-associated protein B,8.031682,11.511728,-12.2677965,1.7256477
SFTPC,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q6P8P8,Pulmonary surfactant-associated protein C,7.698373,11.483622,-0.9162323,3.4732275
SFTPD,19,16,ECM-affiliated Proteins,Matrisome-associated,P50404,Pulmonary surfactant-associated protein D,9.580529,6.7812757,-4.2197857,4.136696
SLIT2,17,18,ECM Glycoproteins,Core matrisome,O94813,Slit homolog 2 protein;Slit homolog 2 protein N-product;Slit homolog 2 protein C-product,5.8962536,13.121943,-12.794593,2.1707242
SLIT3,-1,1,ECM Glycoproteins,Core matrisome,O75094,Slit homolog 3 protein,14.754372,4.630158,-4.277537,7.9898643
SLPI,-1,-1,ECM Regulators,Matrisome-associated,P03973,Antileukoproteinase,13.73886,9.622163,-6.079721,-1.0386033
SMAP,12,14,ECM Regulators,Matrisome-associated,O00193,Small acidic protein,4.030485,7.99528,0.31539723,5.891969
SMAP2,3,4,ECM Glycoproteins,Core matrisome,X6RCC3,Stromal membrane-associated protein 2 (Fragment) OS=Homo sapiens GN=SMAP2 PE=1 SV=1,14.054206,6.397213,-4.1942797,2.0687604
SMOC1,-1,-1,ECM Glycoproteins,Core matrisome,Q9H4F8,SPARC-related modular calcium-binding protein 1,10.1644335,11.190563,-8.667081,-1.7067618
SMOC2,-1,15,ECM Glycoproteins,Core matrisome,Q9H3U7,SPARC-related modular calcium-binding protein 2,12.702296,10.341916,-6.6425505,-1.4459873
SNED1,2,1,ECM Glycoproteins,Core matrisome,Q8TER0,"Sushi, nidogen and EGF-like domain-containing protein 1",14.761194,4.625321,-3.9972148,7.799993
SPARC,-1,-1,ECM Glycoproteins,Core matrisome,P09486,SPARC,13.629959,9.417974,-5.9205837,-2.0661516
SPARCL1,0,0,ECM Glycoproteins,Core matrisome,Q14515,SPARC-like protein 1,16.575933,5.390343,-0.8777737,11.638585
SPON1,-1,1,ECM Glycoproteins,Core matrisome,Q9HCB6,Spondin-1,14.681195,4.663801,-3.9234293,7.954009
SPON1;MKIAA0762,19,16,ECM Glycoproteins,Core matrisome,Q8VCC9,Spondin-1,9.550354,6.7954907,-4.1535974,4.1614165
SPON2,-1,-1,ECM Glycoproteins,Core matrisome,Q9BUD6,Spondin-2,6.7396746,12.755454,-12.109723,2.080526
SPP1,-1,-1,ECM Glycoproteins,Core matrisome,P10451,Osteopontin,13.31504,9.94181,-6.217479,-1.3940411
SRPX,-1,-1,ECM Glycoproteins,Core matrisome,P78539,Sushi repeat-containing protein SRPX,12.852775,6.9830303,-6.237157,2.4772477
SRPX2,-1,-1,ECM Glycoproteins,Core matrisome,O60687,Sushi repeat-containing protein SRPX2,12.873479,10.027357,-6.323628,-1.92843
STFA2L1;STFA2,19,16,ECM Regulators,Matrisome-associated,Q8BWM3,Stefin-2,10.2928705,6.368478,-5.023565,4.1176286
SULF1,18,22,ECM Regulators,Matrisome-associated,Q8IWU6,Extracellular sulfatase Sulf-1,8.431808,12.366486,-9.657108,-1.3099431
SULF2,-1,-1,ECM Regulators,Matrisome-associated,Q8IWU5,Extracellular sulfatase Sulf-2,10.443842,11.054974,-8.259971,-2.1308768
SVEP1,18,-1,ECM Glycoproteins,Core matrisome,Q4LDE5,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",8.388352,12.330239,-9.655576,-1.3137819
Sdc2,-1,12,ECM-affiliated Proteins,Matrisome-associated,P43407,,-1.3024871,5.2775974,3.9744062,5.5353813
Sdc3,14,12,ECM-affiliated Proteins,Matrisome-associated,Q64519,,-1.3020781,5.3096476,4.1833773,5.56474
Sdc4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O35988,,4.945283,9.076835,0.32336146,3.3148932
Sema3b,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q62177,Semaphorin-3B (Semaphorin-A) (Sema A),2.5129611,6.8231225,0.55336434,5.0860724
Sema3c,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q62181,,0.64458287,8.613513,0.20830601,2.0069642
Sema4a,14,12,ECM-affiliated Proteins,Matrisome-associated,Q62178,,-1.2898437,5.480882,4.2591558,5.6962814
Sema4b,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q62179,Semaphorin-4B (Semaphorin-C) (Sema C),-0.7851511,4.6849365,2.4273903,6.186954
Sema4d,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O09126,,-0.80731356,5.1542006,4.7661047,5.6516104
Sema4f,14,12,ECM-affiliated Proteins,Matrisome-associated,Q9Z123,,-1.2907612,5.3252583,4.169371,5.5975666
Sema5b,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q60519,,2.9435346,9.3684025,1.0775604,3.1280882
Sema6d,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q76KF0,,-0.6849638,4.717242,4.715842,5.3386703
Sema7a,7,8,ECM-affiliated Proteins,Matrisome-associated,Q9QUR8,Semaphorin-7A (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108),-0.5496463,6.1928344,2.328753,6.4423366
Serpina10,-1,-1,ECM Regulators,Matrisome-associated,Q8R121,Protein Z-dependent protease inhibitor (PZ-dependent protease inhibitor) (PZI) (Serpin A10),8.91747,10.567532,-0.44626415,2.9713888
Serpina1a,-1,-1,ECM Regulators,Matrisome-associated,P07758,Alpha-1-antitrypsin 1-1 (AAT) (Alpha-1 protease inhibitor 1) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-1) (Serine protease inhibitor A1a) (Serpin A1a),0.47371837,9.354023,0.8214874,1.4422854
Serpina1b,-1,-1,ECM Regulators,Matrisome-associated,P22599,Alpha-1-antitrypsin 1-2 (AAT) (Alpha-1 protease inhibitor 2) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-2) (Serine protease inhibitor A1b) (Serpin A1b),0.70711404,9.520612,0.8330253,1.5408275
Serpina1c,-1,-1,ECM Regulators,Matrisome-associated,Q00896,Alpha-1-antitrypsin 1-3 (Alpha-1 protease inhibitor 3) (Alpha-1 protease inhibitor 6) (Alpha-1-antitrypsin 1-6) (Serine protease inhibitor 1-3) (Serine protease inhibitor 1-6) (Serine protease inhibitor A1c) (Serpin A1c),2.125026,9.674145,1.9228336,2.599031
Serpina1d,-1,-1,ECM Regulators,Matrisome-associated,Q00897,Alpha-1-antitrypsin 1-4 (Alpha-1 protease inhibitor 4) (Serine protease inhibitor 1-4) (Serine protease inhibitor A1d) (Serpin A1d),1.315858,10.03992,1.6865985,2.3991728
Serpina1e,-1,-1,ECM Regulators,Matrisome-associated,Q00898,Alpha-1-antitrypsin 1-5 (Alpha-1 protease inhibitor 5) (Serine protease inhibitor 1-5) (Serine protease inhibitor A1e) (Serpin A1e),-1.7604136,6.563174,3.9703403,6.379474
Serpina3k,-1,-1,ECM Regulators,Matrisome-associated,A0A0R4J0I1,Serine protease inhibitor A3K (Serpin A3K) (Contrapsin) (SPI-2),-1.411864,6.108888,4.317655,6.352602
Serpina3m,-1,3,ECM Regulators,Matrisome-associated,Q03734,Serine protease inhibitor A3M (Serpin A3M),0.60777247,8.6096735,0.16257584,2.134582
Serpina3n,-1,-1,ECM Regulators,Matrisome-associated,G3X8T9,Serine protease inhibitor A3N (Serpin A3N),1.0717793,9.749664,2.3438728,2.3262684
Serpina6,-1,3,ECM Regulators,Matrisome-associated,Q06770,Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),0.44404164,8.504637,0.96580964,5.8120756
Serpinb1a,-1,-1,ECM Regulators,Matrisome-associated,Q9D154,Leukocyte elastase inhibitor A (Serine protease inhibitor EIA) (Serpin B1a),1.9119092,9.817356,2.1101534,2.5967171
Serpinb5,-1,-1,ECM Regulators,Matrisome-associated,P70124,,2.5468042,8.494162,0.5807811,4.1267123
Serpinb6,-1,-1,ECM Regulators,Matrisome-associated,Q60854,Serpin B6 (Placental thrombin inhibitor) (Proteinase inhibitor 6) (PI-6),3.0525546,9.723366,1.0870259,3.2187197
Serpinb6a,-1,-1,ECM Regulators,Matrisome-associated,Q60854,,0.66361135,8.699909,0.24885526,1.9524496
Serpinb8,-1,-1,ECM Regulators,Matrisome-associated,O08800,Serpin B8,-0.8348795,6.425904,4.6902432,5.974424
Serpinb9,-1,-1,ECM Regulators,Matrisome-associated,O08797,,-0.6017318,4.763246,4.7035213,5.3287315
Serpinb9b,-1,7,ECM Regulators,Matrisome-associated,Q9DAV6,,2.3398602,9.6858425,1.8647381,2.809922
Serpinc1,-1,-1,ECM Regulators,Matrisome-associated,P32261,Antithrombin-III (ATIII) (Serpin C1),0.5821638,8.630175,0.13242206,2.111896
Serpind1,-1,-1,ECM Regulators,Matrisome-associated,P49182,Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (Serpin D1),5.1064625,8.556317,-0.27369228,3.3493848
Serpine2,-1,-1,ECM Regulators,Matrisome-associated,Q07235,Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serine protease-inhibitor 4) (Serpin E2),0.4690011,8.474623,0.10422497,2.1873255
Serpinf1,-1,-1,ECM Regulators,Matrisome-associated,P97298,Pigment epithelium-derived factor (PEDF) (Caspin) (Serpin F1) (Stromal cell-derived factor 3) (SDF-3),2.185568,8.01263,1.7850904,4.6051655
Serpinf2,-1,3,ECM Regulators,Matrisome-associated,Q61247,Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2),0.42430595,8.507272,0.12881719,2.4689972
Serping1,-1,-1,ECM Regulators,Matrisome-associated,P97290,Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1),2.9522789,8.5729475,0.38631058,3.8785963
Serpinh1,-1,-1,ECM Regulators,Matrisome-associated,P19324,Serpin H1 (47 kDa heat shock protein) (Collagen-binding protein) (Colligin) (Serine protease inhibitor J6),2.3200257,8.000559,1.7680532,4.6810994
Serpini1,10,-1,ECM Regulators,Matrisome-associated,O35684,,-0.8853761,5.882014,4.7779603,6.018624
Sfrp1,22,20,Secreted Factors,Matrisome-associated,Q8C4U3,Secreted frizzled-related protein 1 (sFRP-1),7.1256104,10.525508,-0.21512568,3.371679
Shh,-1,7,Secreted Factors,Matrisome-associated,Q62226,,2.3299868,9.518538,1.3032461,2.9483714
Slit1,-1,-1,ECM Glycoproteins,Core matrisome,Q80TR4,,-1.8023981,6.587378,4.0948024,6.254983
Slit2,-1,-1,ECM Glycoproteins,Core matrisome,Q9R1B9,,-1.7995421,6.5912557,3.803982,5.8000374
Slit3,-1,-1,ECM Glycoproteins,Core matrisome,Q9WVB4,,-0.71998477,5.036636,4.80885,5.6619325
Smoc2,-1,-1,ECM Glycoproteins,Core matrisome,Q8CD91,SPARC-related modular calcium-binding protein 2 (Secreted modular calcium-binding protein 2) (SMOC-2),0.65179926,8.513206,0.080884956,1.8950257
Sparc,-1,-1,ECM Glycoproteins,Core matrisome,P07214,SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine),2.2872567,8.008248,1.7397883,4.659086
