Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference
MIF,Macrophage migration inhibitory factor,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,0.0238630220714882,0.2655082098296165,-0.1550925239011604,0.3561988238265822,0,0.0,0.1160362243926942,0.9182248007469828,0.2958470373041533,1
VEGFA,Vascular endothelial growth factor A,Secreted Factors,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.1062391373679642,0.5259488176363811,-0.1062391373679642,0.7438039510154639,1,0.5,,,0.2378889994106969,0
MDK,Midkine,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0661636822953618,0.2518809211752649,0.0838102449214917,0.336263712200616,0,0.0,0.3408005538315179,0.7657241195180654,0.3249844446845016,1
CPN2,Carboxypeptidase N subunit 2,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.1728678793575904,0.5784260661365895,0.1097144598914635,0.6970085554828092,3,0.6,0.5545761616972557,0.6087304779255829,0.4043318051461895,1
IGFBP6,Insulin-like growth factor-binding protein 6,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,UP,2,1,-0.0518069657017472,0.1433734449211466,0.043232417206136,0.210225898536765,0,0.0,-0.426837499118653,0.7110542831819424,0.3250676643263144,1
SERPINB6,Serpin B6,ECM Regulators,Matrisome-associated,6,6,0.5,DOWN,3,3,-0.0903844509993841,0.4429245248645613,-0.1316977676476135,0.6217915906150624,2,0.3333333333333333,-0.3560610805480344,0.736325586972156,0.3529096880332014,0
SRPX,Sushi repeat-containing protein SRPX,ECM Glycoproteins,Core matrisome,5,5,0.6,DOWN,2,3,0.0792709907366214,0.5361617598429127,-0.0415698524862173,0.8263422565164152,2,0.4,0.2145059417366495,0.84064433378918,0.3537226033441024,1
SFRP1,Secreted frizzled-related protein 1,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.2804180376536905,0.29207656774654,0.1705556131236068,0.3654398645577505,1,0.3333333333333333,1.329078558965478,0.3151671895708584,0.4191153953310705,1
CTSZ,Cathepsin Z,ECM Regulators,Matrisome-associated,6,6,0.6666666666666666,UP,4,2,0.2313155131259849,0.2644666779202005,0.1743416865583929,0.2872232094765902,2,0.3333333333333333,1.9726991345207017,0.1055589654192243,0.5112172276493516,2
CYR61,Protein CYR61,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.0134140286572487,0.6631481970753941,-0.0134140286572487,0.9378331741672884,2,1.0,,,0.2516089373545982,0
F9,Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain,ECM Regulators,Matrisome-associated,5,6,0.6666666666666666,UP,4,2,-0.021059231865888,0.2191667856839834,0.042634081439595,0.2980006474572315,0,0.0,-0.1731015448675787,0.8693609510305114,0.3362797824799431,2
COL4A1,Collagen alpha-1(IV) chain;Arresten,Collagens,Core matrisome,8,8,0.5,DOWN,4,4,0.054614949820691,0.148973550660579,0.0063792372989251,0.1890182401262116,0,0.0,0.8172460254965269,0.440712247288058,0.4179313761966815,0
C1QA,Complement C1q subcomponent subunit A,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1174171882929,0.1928998632095912,-0.1698583962713789,0.2094047290945365,0,0.0,-0.9711936147983128,0.4338980198208794,0.3854515588273715,1
S100A8,"Protein S100-A8;Protein S100-A8, N-terminally processed",Secreted Factors,Matrisome-associated,7,7,0.5714285714285714,DOWN,3,4,0.0134706789944063,0.3401651028477528,-0.003006080084934,0.4487005102529533,2,0.2857142857142857,0.0794295210190174,0.939273920365958,0.3411197094048609,1
CTSG,Cathepsin G,ECM Regulators,Matrisome-associated,6,6,0.6666666666666666,UP,4,2,0.153440322472031,0.2648495761224889,0.184484379004206,0.2834843011351339,0,0.0,1.325824726517816,0.2422377875490619,0.4839197530436129,2
PRG2,Bone marrow proteoglycan;Eosinophil granule major basic protein,Proteoglycans,Core matrisome,5,5,0.6,UP,3,2,0.0353761115388547,0.16757738077801,0.028038776712902,0.2357390393235158,0,0.0,0.3355549017570083,0.7540679603357281,0.3341794401283025,1
DSP,Desmoplakin,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.2166400898539064,0.2711012219889213,-0.193763787171525,0.2935091418219331,1,0.25,-1.4762067614598402,0.236373356879547,0.4754236861171003,2
CTSS,Cathepsin S,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.1013009240592886,0.1955713513387529,-0.1013009240592886,0.2765796574748979,0,0.0,,,0.2048512527809341,0
SDC2,Syndecan-2,ECM-affiliated Proteins,Matrisome-associated,4,4,0.75,UP,3,1,0.1095054074508096,0.2661962879811748,0.2036809383916787,0.3019730948598384,0,0.0,0.7252659876975919,0.5207424386241407,0.4180593763674069,2
FBN2,Fibrillin-2,ECM Glycoproteins,Core matrisome,5,5,0.6,DOWN,2,3,-0.0926368065943337,0.1995092009565538,-0.063755676751794,0.2490229925307221,0,0.0,-0.831819562757346,0.4522861882908865,0.3977289765551252,1
LMAN1,Protein ERGIC-53,ECM-affiliated Proteins,Matrisome-associated,7,7,0.5714285714285714,UP,4,3,-0.0128875396586924,0.2851329599030877,0.057083154491081,0.3461375612580143,0,0.0,-0.098507728616502,0.9247376940325048,0.338523740377085,1
CTSC,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,ECM Regulators,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.0013548985162491,0.1177610788613164,-0.0507010752617103,0.1654945786781812,0,0.0,-0.0163739323314491,0.987964154367777,0.3097715123066938,2
MFAP2,Microfibrillar-associated protein 2,ECM Glycoproteins,Core matrisome,5,5,0.6,DOWN,2,3,-0.0583579784214862,0.1945678749167266,-0.0937974349247843,0.2713448999325609,0,0.0,-0.4809097455391317,0.6557026445492509,0.3565515526994696,1
LTBP1,Latent-transforming growth factor beta-binding protein 1,ECM Glycoproteins,Core matrisome,6,6,0.6666666666666666,UP,4,2,0.1555147412150797,0.1795858794637332,0.0590432387322526,0.2472662540888123,1,0.1666666666666666,1.540573196539372,0.1840506059157766,0.4870308197043944,2
ADIPOQ,Adiponectin,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,UP,2,1,0.2022229730899604,0.3669482781674194,0.2318609230583237,0.4352494292309243,1,0.3333333333333333,0.804735033124219,0.5054310498193602,0.3885497943234581,1
COL28A1,Collagen alpha-1(XXVIII) chain,Collagens,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.1146388882790393,0.5830427141750847,-0.3667431113271421,0.7248548117238147,2,0.6666666666666666,-0.2739312422446388,0.8098359116451068,0.3492782655590754,1
ADAMTSL4,ADAMTS-like protein 4,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.28436006551304,0.5771855015729347,0.5275445593602643,0.6377814787819664,2,0.6666666666666666,0.7722489559477723,0.5207367060981076,0.4065123854082602,1
PODN,Podocan,Proteoglycans,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,0.147232865437609,0.5147524733063175,-0.0776996360360785,0.7587120046705926,1,0.3333333333333333,0.3361154191735893,0.7687714780324161,0.3506621281947367,1
SBSPON,Somatomedin-B and thrombospondin type-1 domain-containing protein,ECM Glycoproteins,Core matrisome,4,4,0.5,DOWN,2,2,-0.1502406008285046,0.2471132783259422,-0.1430620858109284,0.3072583838554386,1,0.25,-0.9779430519896964,0.4002236420005313,0.3652548347266056,0
C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0958173793117354,0.1543595304510746,0.0843607124083962,0.189618694675704,0,0.0,0.8752331593667982,0.4737464021298916,0.3736278490897173,1
CRISPLD2,Cysteine-rich secretory protein LCCL domain-containing 2,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.0330629643706347,0.0789266824869181,-0.0330629643706347,0.1116191848061146,0,0.0,,,0.1931867858957506,0
COL6A5,Collagen alpha-5(VI) chain,Collagens,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.4962835851124441,0.5628319853428078,-0.1693451088376552,0.8106302483757731,1,0.3333333333333333,-1.060395150686159,0.400095960831588,0.4292051828385513,1
CRELD1,Cysteine-rich with EGF-like domain protein 1,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,0.0234696461401257,0.0327866955151222,0.0234696461401257,0.0463673894628829,0,0.0,,,0.188572787198571,0
ADAMTSL5,,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,0.0937334906814868,0.277939505024847,-0.0378200046596038,0.4139844788733553,1,0.3333333333333333,0.3921672828724215,0.7327798773082483,0.3341791515114232,1
SERPINA3N,,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,0.1281333061569694,0.1449647815175609,0.1281333061569694,0.2050111600885872,0,0.0,,,0.1997905957988149,0
INHBE,Inhibin beta E chain,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1712134067029725,0.2631876680073201,-0.0872425193285653,0.3586109985064949,1,0.3333333333333333,-0.8269415064834698,0.4952258491403379,0.3802147734432526,1
ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,-0.1941579721970166,0.2166732631825522,0.0145218085678489,0.3655473418483676,1,0.3333333333333333,-0.919966948300981,0.4547082855099554,0.3836668456868524,1
CTSL,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,0.0915549387718072,0.1619022244266041,0.0915549387718072,0.2289643215624761,0,0.0,,,0.2014843400897192,0
ANXA2,Annexin A2;Annexin,ECM-affiliated Proteins,Matrisome-associated,7,7,0.5714285714285714,DOWN,3,4,-0.1428060675451586,0.2934234149132017,-0.0455499128892538,0.4519980291183758,1,0.1428571428571428,-0.8359092652960007,0.4352242844839513,0.4372554677878072,1
FGF2,Fibroblast growth factor 2;Fibroblast growth factor,Secreted Factors,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.0844574870695669,0.0967943418420184,-0.0205738842860421,0.1593664372069131,0,0.0,-1.059915607699904,0.3669617874498294,0.4318753119883536,2
SDC1,Syndecan-1;Syndecan,ECM-affiliated Proteins,Matrisome-associated,4,4,0.75,UP,3,1,-0.0004975816954502,0.2570875155703704,0.1070226435470716,0.3556695361114264,1,0.25,-0.0027980000811446,0.9979431791861496,0.3217083510139247,2
LAMA1,Laminin subunit alpha-1,ECM Glycoproteins,Core matrisome,4,4,0.5,DOWN,2,2,-0.0709680382178409,0.1272357525066041,-0.0758212573276522,0.1567964120341853,0,0.0,-0.9052252828638486,0.4320754013745791,0.3468967302698622,0
GPC4,Glypican-4;Secreted glypican-4,ECM-affiliated Proteins,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.0877823817311105,0.109742727613026,-0.0955524375787773,0.1171819161991207,0,0.0,-1.498224036240316,0.231010590435092,0.4603603899684018,2
PLXNA1,Plexin-A1,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1436130498330068,0.1496613824812667,-0.0711962180518367,0.1990328566907572,0,0.0,-1.249769023449083,0.3378025312184365,0.4003468084750275,1
SPARCL1,SPARC-like protein 1,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.105079665615364,0.2715198527570102,-0.105079665615364,0.3839870582225096,0,0.0,,,0.2124461029227598,0
LOXL1,Lysyl oxidase homolog 1,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.4028448716124342,0.5221929419845618,0.3291419960928012,0.622002059778692,1,0.3333333333333333,1.121777290334948,0.3785510018483078,0.4294502702993828,1
MUC1,Mucin-1;Mucin-1 subunit alpha;Mucin-1 subunit beta,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0823370657631677,0.1936279689055039,0.0708825587717599,0.2551935501226043,0,0.0,0.5588385019113158,0.6324942098332139,0.3458051313944958,1
NTN4,Netrin-4,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,UP,2,1,-0.0131745994517854,0.0997793996538198,0.0204237970775014,0.1424603456459935,0,0.0,-0.160178437840981,0.8874563269090603,0.2854278510541581,1
LAMA3,Laminin subunit alpha-3,ECM Glycoproteins,Core matrisome,5,6,0.5,DOWN,3,3,-0.1681422425787238,0.1844999218329667,-0.0646785372626419,0.2514280321365827,1,0.1666666666666666,-1.6380937917909235,0.1623279995278991,0.4242196863953639,0
SEMA3G,Semaphorin-3G,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.7082004131811113,0.7414335083170234,-0.1287185194309239,1.1617725398515784,1,0.3333333333333333,-1.0558341288800517,0.4017515123046469,0.4467342248413611,1
FRAS1,Extracellular matrix protein FRAS1,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.3449398062785562,0.4226882443309638,-0.5665823788039376,0.3998292707848825,2,0.6666666666666666,-1.4942709643408505,0.2737048599088098,0.4404690289219226,1
COL6A6,Collagen alpha-6(VI) chain,Collagens,Core matrisome,7,7,0.5714285714285714,DOWN,3,4,-0.1103171120127565,0.3214655834080416,-0.0865980550384117,0.3822986272965653,1,0.1428571428571428,-0.763465058204859,0.4741262572532898,0.4322792900834235,1
PLXNB1,Plexin-B1,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,-0.1127174275963573,0.1845545767395103,0.0060397246491951,0.2924901003043624,0,0.0,-0.6674834850553926,0.573171260203043,0.3567623821039306,1
COLEC12,Collectin-12,ECM-affiliated Proteins,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.006479272491607,0.0667246264962226,-0.006479272491607,0.0943628717352371,0,0.0,,,0.1919665802966811,0
NPNT,Nephronectin,ECM Glycoproteins,Core matrisome,3,5,0.6,DOWN,2,3,0.0136486972485712,0.3111066703608414,-0.1381466753978415,0.3765564242030085,1,0.2,0.0810487164485766,0.9392965070445862,0.2761925420977551,1
VWA5A,von Willebrand factor A domain-containing protein 5A,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.0279439853080297,0.0401588092431408,-0.0279439853080297,0.0567931326804037,0,0.0,,,0.1893099985713729,0
MFAP1,Microfibrillar-associated protein 1,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.1631303052685294,0.1753466455938606,-0.2256990522491157,0.15964741715567,0,0.0,-1.7698374456243364,0.2187746591727989,0.4267209091954145,1
SERPINB1A,Leukocyte elastase inhibitor A,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,0.0329229054919661,0.0385270213123277,0.0329229054919661,0.0544854360577311,0,0.0,,,0.1891468197782916,0
PAPLN,Papilin,ECM Glycoproteins,Core matrisome,4,8,0.625,UP,5,3,-0.031520252808091,0.2619986201574776,0.0202653649862175,0.4356247546489237,2,0.25,-0.2046548940799093,0.8436651965859644,0.3155550579926724,2
COL4A6,,Collagens,Core matrisome,4,6,0.6666666666666666,UP,4,2,0.1973587758673894,0.3994243488644088,0.2114423885628646,0.4477134181741297,2,0.3333333333333333,1.079771741278021,0.329553275935509,0.4446200149934567,2
ELN,Elastin,ECM Glycoproteins,Core matrisome,5,7,0.5714285714285714,DOWN,3,4,0.7379807368042802,0.8185439568236912,-0.037857270424509,1.0475616001525236,3,0.4285714285714285,1.8638650955285625,0.1116241027186365,0.5191934406848603,1
LGALS8,Galectin-8;Galectin,ECM-affiliated Proteins,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.1247067891602612,0.249114286469969,-0.0623035861957418,0.3631710296752048,1,0.25,-0.686766173346979,0.5415534256833051,0.4121889788044535,2
TGM1,Protein-glutamine gamma-glutamyltransferase K,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.0137909191201512,0.151827684733245,-0.0910794024245031,0.1941072837257696,0,0.0,-0.1230586103761127,0.9133119914887124,0.2854615466461702,1
COL4A4,Collagen alpha-4(IV) chain,Collagens,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.0152436318362225,0.1765612935828412,-0.0336760101822348,0.2485171349113457,0,0.0,-0.1062411444652728,0.9250872573161112,0.2855798543656501,1
ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1226216844558735,0.2385769997307113,-0.0437554808270662,0.3428595672817309,0,0.0,-0.619457666796655,0.5987793274119786,0.3570430109612637,1
ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.1980399257780468,0.214938399393272,-0.1980399257780468,0.3039687994967303,0,0.0,,,0.206787957586386,0
P3H1,Prolyl 3-hydroxylase 1;Prolyl 3-hydroxylase 1;Prolyl 3-hydroxylase 1;Isoform 3 of Prolyl 3-hydroxylase 1,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.0980513653516343,0.1558191136863244,-0.0980513653516343,0.2203615038521552,0,0.0,,,0.2008760290156912,0
LAMC3,Laminin subunit gamma-3 (Fragment);Laminin subunit gamma-3,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.042304687324483,0.1017623092414905,-0.0812307795689455,0.11699025546874,0,0.0,-0.6263245391741072,0.5950576467361565,0.344105878047506,1
PLXNB2,Plexin-B2,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0218666581051608,0.2037541205330619,0.0606055059131795,0.2773648624566915,0,0.0,0.1365499670521178,0.9038915599143356,0.2925382765410272,1
FLG2,Filaggrin-2,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1942204019735374,0.2071266133148323,-0.034961338276775,0.3240281651365064,1,0.3333333333333333,-1.0381801345660775,0.4082323126425046,0.3920073752735705,1
GAS6,Growth arrest-specific protein 6,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.173170850617518,0.3335199510977543,-0.173170850617518,0.4716684381644555,1,0.5,,,0.2186461127568342,0
Col11a2,,Collagens,Core matrisome,2,2,0.5,DOWN,1,1,0.5480735216082906,1.3178692918983457,0.5480735216082906,1.8637486260376672,2,1.0,,,0.3170810468368934,0
Col12a1,,Collagens,Core matrisome,7,7,0.5714285714285714,UP,4,3,0.0918976873628082,0.3851980524026896,0.0456633852151801,0.6080603570336635,2,0.2857142857142857,0.3998590337480151,0.7031066443054694,0.3928564595724523,1
Col2a1,,Collagens,Core matrisome,5,5,0.6,UP,3,2,0.036387649255169,0.827259794589542,0.3313776507411627,1.0164686440118555,4,0.8,0.0800469918627697,0.9400447625970938,0.3629523210571825,1
Cnp,,Non-ECM,Non-ECM,4,4,0.5,DOWN,2,2,-0.1769459643493454,0.360562494666485,-0.0332673494658041,0.5327382402561375,1,0.25,-0.6642885791876731,0.5540016500334303,0.3458441547540801,0
C4b,,Non-ECM,Non-ECM,4,4,0.5,DOWN,2,2,-0.1670685469176605,0.3923396789648199,-0.0441987091729296,0.5261804470508402,1,0.25,-0.6350237750340358,0.5705349449091818,0.3457152142087633,0
Cilp2,,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.310595813767251,0.839510864343204,-0.4998790672367474,1.0225515277148576,2,0.6666666666666666,-0.5261032969803494,0.6513336436475305,0.4066255341754025,1
Apoc1,,Non-ECM,Non-ECM,3,3,0.6666666666666666,DOWN,1,2,-0.1333410032929239,0.5555920736916774,-0.2604390027277347,0.7117313531259194,2,0.6666666666666666,-0.3244951784422696,0.7763589359524306,0.3532285966492698,1
Ces1d,,Non-ECM,Non-ECM,4,4,0.75,UP,3,1,0.37289938212478,0.7731321289743874,0.7044009270025897,0.7881250738500818,4,1.0,0.9462949333742768,0.4138105090285398,0.4901393463858484,2
Aoc3,,Non-ECM,Non-ECM,4,4,0.75,DOWN,1,3,-0.3222148724611824,0.3824071933436214,-0.3187895622128553,0.3653670604163595,1,0.25,-1.763787201254528,0.175963287539508,0.4986362971205781,2
Col5a2,,Collagens,Core matrisome,6,6,0.6666666666666666,UP,4,2,-0.0013648920152659,0.488500955035475,0.0971005626946672,0.631171177482966,3,0.5,-0.0052969608097966,0.9959784990486108,0.3555367486350018,2
Col1a1,,Collagens,Core matrisome,8,8,0.625,DOWN,3,5,-0.0788007670123403,0.3366733100109981,-0.0279666548346575,0.4929475134448401,3,0.375,-0.4521419031226099,0.6648448794196453,0.429374825705406,2
Psap,,Non-ECM,Non-ECM,4,4,0.75,UP,3,1,0.2231065192356274,0.236337314845072,0.1495360853655262,0.2920652625657393,1,0.25,1.527785381086939,0.2240192885344665,0.4744181090717315,2
F13b,,ECM Regulators,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.1274783367934548,0.208316949909782,-0.1439010904515839,0.2248375089033943,0,0.0,-1.1339596975185158,0.3392301780789202,0.4485738946693117,2
Iigp1,,Non-ECM,Non-ECM,2,2,0.5,DOWN,1,1,-0.0560975401188676,0.4028867295503509,-0.0560975401188676,0.5697678770302474,0,0.0,,,0.2255827906020939,0
Anxa1,,ECM-affiliated Proteins,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.1165982503986592,0.2020283270678322,-0.0132563340409987,0.2722473134733183,1,0.125,-1.2113605453735254,0.2650595506201106,0.4583673931709964,0
